         2310514 function calls (2180215 primitive calls) in 42.133 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1437    0.010    0.000    0.027    0.000 interpreter.py:492(store)
    12802    0.010    0.000    0.010    0.000 {zip}
    23395    0.010    0.000    0.010    0.000 {method 'replace' of 'str' objects}
    18104    0.010    0.000    0.016    0.000 numpy_support.py:147(is_array)
    71818    0.010    0.000    0.010    0.000 StringIO.py:38(_complain_ifclosed)
     9716    0.010    0.000    0.014    0.000 builder.py:92(_insert)
    12449    0.010    0.000    0.029    0.000 _utils.py:34(register)
       66    0.010    0.000    0.010    0.000 module.py:89(verify)
6446/1141    0.009    0.000    0.015    0.000 ir.py:102(_rec_list_vars)
15475/10444    0.009    0.000    0.070    0.000 types.py:108(__str__)
2960/1492    0.009    0.000    0.047    0.000 contextlib.py:21(__exit__)
  828/132    0.008    0.000    1.084    0.008 typeinfer.py:227(resolve)
     1468    0.008    0.000    0.072    0.000 instructions.py:86(descr)
2595/2541    0.008    0.000    0.030    0.000 {map}
    13212    0.007    0.000    0.007    0.000 {numba.typeconv._typeconv.check_compatible}
        8    0.007    0.001    0.021    0.003 iterative.py:279(cgs)
        1    0.007    0.007    0.013    0.013 regularization.py:636(fd2d)
    13212    0.007    0.000    0.014    0.000 typeconv.py:16(check_compatible)
8704/5486    0.007    0.000    0.011    0.000 types.py:96(__hash__)
     2451    0.007    0.000    0.047    0.000 builder.py:306(load)
     1341    0.007    0.000    0.015    0.000 {sorted}
     5041    0.006    0.000    0.009    0.000 typeinfer.py:318(__getitem__)
5282/5256    0.006    0.000    0.017    0.000 values.py:94(get_reference)
5377/2976    0.006    0.000    0.056    0.000 manager.py:22(lookup)
    18047    0.006    0.000    0.006    0.000 mohoinv.py:439(relief)
     2451    0.006    0.000    0.050    0.000 instructions.py:274(descr)
    10109    0.006    0.000    0.011    0.000 _utils.py:9(__exit__)
     3057    0.006    0.000    0.006    0.000 {numpy.core.multiarray.array}
    10109    0.006    0.000    0.006    0.000 StringIO.py:81(close)
     2084    0.005    0.000    0.005    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
6442/6413    0.005    0.000    0.009    0.000 types.py:114(__eq__)
    15913    0.005    0.000    0.015    0.000 {method 'get' of 'dict' objects}
1646/1079    0.005    0.000    0.027    0.000 types.py:44(__call__)
     2960    0.005    0.000    0.008    0.000 contextlib.py:82(helper)
    10852    0.005    0.000    0.005    0.000 {method 'insert' of 'list' objects}
     1796    0.005    0.000    0.008    0.000 typeinfer.py:41(add_types)
2960/1478    0.005    0.000    0.046    0.000 contextlib.py:15(__enter__)
     5991    0.005    0.000    0.006    0.000 types.py:178(__init__)
       21    0.005    0.000    0.011    0.001 linker.py:6(link_modules)
    23550    0.005    0.000    0.005    0.000 values.py:155(name)
     1366    0.004    0.000    0.019    0.000 interpreter.py:364(_iter_inst)
     1572    0.004    0.000    0.008    0.000 tokenize.py:287(generate_tokens)
     2053    0.004    0.000    0.008    0.000 models.py:185(__init__)
     8495    0.004    0.000    0.005    0.000 instructions.py:20(_stringify_metatdata)
     1468    0.004    0.000    0.053    0.000 builder.py:356(call)
     2451    0.004    0.000    0.036    0.000 instructions.py:270(__init__)
       11    0.004    0.000    0.053    0.005 interpreter.py:242(_insert_var_dels)
     1231    0.004    0.000    0.037    0.000 instructions.py:287(descr)
    18000    0.004    0.000    0.004    0.000 mohoinv.py:435(bottom)
    18000    0.004    0.000    0.004    0.000 mohoinv.py:431(top)
     1355    0.004    0.000    0.044    0.000 interpreter.py:459(_dispatch)
     7995    0.004    0.000    0.004    0.000 {locals}
     1776    0.004    0.000    0.015    0.000 cgutils.py:300(goto_entry_block)
    23047    0.004    0.000    0.004    0.000 types.py:85(key)
     4493    0.004    0.000    0.006    0.000 models.py:141(__init__)
     1358    0.004    0.000    0.010    0.000 models.py:178(__init__)
      968    0.003    0.000    0.008    0.000 interpreter.py:267(_patch_var_disposal)
15227/11974    0.003    0.000    0.006    0.000 {hash}
      888    0.003    0.000    0.042    0.000 cgutils.py:307(alloca_once)
     1332    0.003    0.000    0.329    0.000 lowering.py:183(lower_inst)
       11    0.003    0.000    0.005    0.000 interpreter.py:160(_compute_live_variables)
     1004    0.003    0.000    0.061    0.000 objmode.py:564(decref)
      561    0.003    0.000    0.026    0.000 instructions.py:333(descr)
       11    0.003    0.000    0.019    0.002 controlflow.py:508(run)
     1053    0.003    0.000    0.046    0.000 pythonapi.py:71(decref)
    20905    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
      561    0.003    0.000    0.092    0.000 instructions.py:315(__init__)
     1231    0.003    0.000    0.026    0.000 builder.py:314(store)
      208    0.003    0.000    0.003    0.000 {scipy.sparse._sparsetools.csr_matvec}
     4502    0.003    0.000    0.004    0.000 types.py:191(format_const)
     7077    0.003    0.000    0.003    0.000 utils.py:113(__getitem__)
    16287    0.003    0.000    0.003    0.000 builder.py:63(block)
      584    0.003    0.000    0.031    0.000 cgutils.py:375(ifthen)
2260/2206    0.003    0.000    0.032    0.000 types.py:329(structure_repr)
     1510    0.003    0.000    0.003    0.000 ir.py:32(__init__)
     3570    0.003    0.000    0.008    0.000 types.py:35(as_pointer)
     3763    0.003    0.000    0.005    0.000 types.py:103(__init__)
     1661    0.003    0.000    0.017    0.000 base.py:295(get_value_type)
     2894    0.003    0.000    0.006    0.000 cgutils.py:284(goto_block)
      133    0.003    0.000    0.018    0.000 dataflow.py:28(run_on_block)
      181    0.003    0.000    0.038    0.000 cgutils.py:77(__init__)
3612/1632    0.003    0.000    0.004    0.000 argpacker.py:112(_flatten)
     2952    0.003    0.000    0.003    0.000 values.py:170(function_type)
     5377    0.003    0.000    0.003    0.000 models.py:32(__init__)
     3491    0.003    0.000    0.019    0.000 instructions.py:87(<genexpr>)
 1045/162    0.003    0.000    1.087    0.007 context.py:55(resolve_function_type)
     1451    0.003    0.000    0.005    0.000 ir.py:505(define)
      930    0.003    0.000    0.007    0.000 ir.py:527(get_or_define)
     4981    0.003    0.000    0.004    0.000 types.py:185(__eq__)
     3025    0.003    0.000    0.004    0.000 bytecode.py:288(__getitem__)
      511    0.003    0.000    0.011    0.000 types.py:851(__init__)
     2960    0.003    0.000    0.003    0.000 contextlib.py:12(__init__)
     3990    0.003    0.000    0.003    0.000 controlflow.py:52(__hash__)
     1747    0.003    0.000    0.006    0.000 interpreter.py:507(get)
     2741    0.003    0.000    0.004    0.000 values.py:86(__init__)
      126    0.003    0.000    0.006    0.000 compressed.py:126(check_format)
     3331    0.003    0.000    0.009    0.000 types.py:154(<genexpr>)
       22    0.002    0.000    0.003    0.000 controlflow.py:292(_find_dominators_internal)
     1468    0.002    0.000    0.017    0.000 types.py:152(__str__)
    17027    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     1358    0.002    0.000    0.013    0.000 dataflow.py:77(dispatch)
  350/341    0.002    0.000    0.018    0.000 models.py:307(__init__)
      162    0.002    0.000    0.004    0.000 values.py:16(_escape_string)
     7755    0.002    0.000    0.002    0.000 templates.py:88(astuple)
     2559    0.002    0.000    0.002    0.000 controlflow.py:206(topo_sort)
      768    0.002    0.000    0.021    0.000 instructions.py:107(descr)
     1830    0.002    0.000    0.003    0.000 cgutils.py:272(get_function)
      871    0.002    0.000    0.007    0.000 bytecode.py:227(next)
      236    0.002    0.000    0.023    0.000 module.py:18(add_metadata)
     1017    0.002    0.000    0.020    0.000 builder.py:292(alloca)
     3221    0.002    0.000    0.007    0.000 types.py:38(__ne__)
      420    0.002    0.000    0.010    0.000 builder.py:332(branch)
     2381    0.002    0.000    0.002    0.000 ir.py:450(__init__)
     2648    0.002    0.000    0.016    0.000 values.py:91(__str__)
     3236    0.002    0.000    0.002    0.000 controlflow.py:180(in_loops)
      799    0.002    0.000    0.005    0.000 models.py:192(__init__)
      159    0.002    0.000    0.017    0.000 values.py:347(__init__)
      385    0.002    0.000    0.006    0.000 sputils.py:130(get_index_dtype)
     1453    0.002    0.000    0.004    0.000 core.py:78(function)
     3270    0.002    0.000    0.003    0.000 builder.py:85(position_at_end)
     9956    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      547    0.002    0.000    0.015    0.000 instructions.py:384(descr)
      987    0.002    0.000    0.011    0.000 values.py:455(__init__)
      937    0.002    0.000    0.002    0.000 {method 'index' of 'list' objects}
     1231    0.002    0.000    0.020    0.000 instructions.py:283(__init__)
     1195    0.002    0.000    0.012    0.000 cgutils.py:117(__setattr__)
       83    0.002    0.000    0.080    0.001 objmode.py:540(cleanup_vars)
      594    0.002    0.000    0.039    0.000 lowering.py:614(storevar)
      133    0.002    0.000    0.003    0.000 interpreter.py:394(_remove_unused_temporaries)
     1017    0.002    0.000    0.016    0.000 instructions.py:297(__init__)
      987    0.002    0.000    0.004    0.000 builder.py:96(_set_terminator)
      987    0.002    0.000    0.013    0.000 values.py:369(append_basic_block)
     1478    0.002    0.000    0.002    0.000 types.py:147(__init__)
     1762    0.002    0.000    0.015    0.000 typeinfer.py:503(constrain_statement)
     1372    0.002    0.000    0.006    0.000 controlflow.py:569(_iter_inst)
      385    0.002    0.000    0.002    0.000 getlimits.py:244(__init__)
      818    0.002    0.000    0.005    0.000 base.py:75(_match_arglist)
       24    0.002    0.000    0.006    0.000 dia.py:247(tocoo)
      547    0.002    0.000    0.009    0.000 instructions.py:369(__init__)
     2232    0.002    0.000    0.009    0.000 instructions.py:109(<genexpr>)
       11    0.002    0.000    0.124    0.011 interpreter.py:146(interpret)
      547    0.002    0.000    0.012    0.000 builder.py:372(extract_value)
      852    0.002    0.000    0.012    0.000 values.py:114(__eq__)
     1045    0.002    0.000    0.174    0.000 templates.py:185(_select)
    10109    0.002    0.000    0.002    0.000 _utils.py:6(__enter__)
     4119    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1832    0.002    0.000    0.003    0.000 core.py:62(int)
      561    0.002    0.000    0.094    0.000 builder.py:364(gep)
     26/5    0.002    0.000    1.089    0.218 typeinfer.py:104(propagate)
      987    0.002    0.000    0.015    0.000 instructions.py:102(__init__)
     1788    0.002    0.000    0.003    0.000 _abcoll.py:398(itervalues)
      314    0.002    0.000    0.252    0.001 lowering.py:452(lower_expr)
     2936    0.002    0.000    0.002    0.000 instructions.py:72(args)
      424    0.002    0.000    0.009    0.000 instructions.py:206(descr)
      500    0.002    0.000    0.002    0.000 ir.py:145(__init__)
     1036    0.002    0.000    0.003    0.000 base.py:90(_match)
     2234    0.002    0.000    0.002    0.000 typeinfer.py:81(get)
     3418    0.002    0.000    0.002    0.000 types.py:138(__eq__)
      513    0.002    0.000    0.013    0.000 instructions.py:33(descr)
        5    0.002    0.000    0.002    0.000 module.py:156(clone)
      633    0.002    0.000    0.003    0.000 interpreter.py:32(assign)
     1361    0.002    0.000    0.002    0.000 controlflow.py:576(_use_new_block)
      400    0.002    0.000    0.012    0.000 interface.py:189(matvec)
     2744    0.002    0.000    0.011    0.000 types.py:290(__str__)
      513    0.002    0.000    0.009    0.000 builder.py:18(wrapped)
     1017    0.002    0.000    0.014    0.000 instructions.py:302(descr)
      409    0.002    0.000    0.010    0.000 builder.py:192(_icmp)
      786    0.002    0.000    0.011    0.000 typeinfer.py:529(typeof_assign)
        7    0.002    0.000    0.049    0.007 typeinfer.py:434(get_function_types)
      236    0.002    0.000    0.030    0.000 cgutils.py:348(set_branch_weight)
      133    0.001    0.000    0.002    0.000 macro.py:36(module_getattr_folding)
     1608    0.001    0.000    0.003    0.000 core.py:103(int)
     2262    0.001    0.000    0.003    0.000 {method 'update' of 'set' objects}
     1212    0.001    0.000    0.002    0.000 dataflow.py:570(make_temp)
     1198    0.001    0.000    0.001    0.000 collections.py:59(__setitem__)
       90    0.001    0.000    0.465    0.005 lowering.py:140(lower_block)
      594    0.001    0.000    0.260    0.000 lowering.py:297(lower_assign)
      584    0.001    0.000    0.007    0.000 cgutils.py:875(add_postfix)
        7    0.001    0.000    0.011    0.002 tokenize.py:175(tokenize_loop)
     1608    0.001    0.000    0.002    0.000 ir.py:579(append)
      724    0.001    0.000    0.001    0.000 typeinfer.py:323(__setitem__)
     1747    0.001    0.000    0.002    0.000 interpreter.py:51(get_assignment_source)
     2441    0.001    0.000    0.035    0.000 manager.py:28(__getitem__)
      761    0.001    0.000    0.013    0.000 values.py:426(__init__)
      294    0.001    0.000    0.007    0.000 base.py:358(get_constant)
2260/2206    0.001    0.000    0.033    0.000 types.py:350(__str__)
       55    0.001    0.000    0.027    0.000 argpacker.py:18(__init__)
      221    0.001    0.000    0.032    0.000 models.py:508(__init__)
      418    0.001    0.000    0.095    0.000 cgutils.py:98(_get_ptr_by_index)
      512    0.001    0.000    0.002    0.000 types.py:894(__init__)
  126/109    0.001    0.000    0.013    0.000 compressed.py:24(__init__)
      424    0.001    0.000    0.008    0.000 instructions.py:199(__init__)
      600    0.001    0.000    0.003    0.000 re.py:230(_compile)
      264    0.001    0.000    0.008    0.000 base.py:64(find)
 1000/998    0.001    0.000    0.006    0.000 base.py:568(cast)
      888    0.001    0.000    0.001    0.000 bytecode.py:172(__init__)
      840    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      152    0.001    0.000    0.024    0.000 lowering.py:352(lower_binop)
     4433    0.001    0.000    0.001    0.000 instructions.py:64(callee)
      133    0.001    0.000    0.002    0.000 macro.py:81(expand_macros_in_block)
      233    0.001    0.000    0.006    0.000 compressed.py:456(_mul_vector)
        7    0.001    0.000    0.054    0.008 typeinfer.py:402(unify)
       22    0.001    0.000    1.557    0.071 dispatcher.py:290(compile)
      420    0.001    0.000    0.052    0.000 cgutils.py:357(if_unlikely)
       80    0.001    0.000    0.054    0.001 callwrapper.py:20(add_arg)
      902    0.001    0.000    0.001    0.000 utils.py:140(__setitem__)
     4027    0.001    0.000    0.001    0.000 typeinfer.py:88(__len__)
     1866    0.001    0.000    0.003    0.000 numeric.py:394(asarray)
      648    0.001    0.000    0.002    0.000 bytecode.py:243(read_arg)
     1565    0.001    0.000    0.001    0.000 inspect.py:641(tokeneater)
      672    0.001    0.000    0.006    0.000 typeinfer.py:126(__call__)
      944    0.001    0.000    0.008    0.000 values.py:123(__hash__)
      249    0.001    0.000    0.009    0.000 instructions.py:414(descr)
     1431    0.001    0.000    0.011    0.000 pythonapi.py:749(_get_function)
     4044    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     7755    0.001    0.000    0.001    0.000 templates.py:141(<lambda>)
       26    0.001    0.000    0.003    0.000 __init__.py:648(_bind)
      344    0.001    0.000    0.010    0.000 core.py:202(icmp)
  389/125    0.001    0.000    0.003    0.000 argpacker.py:73(_assign_names)
     1170    0.001    0.000    0.001    0.000 dataflow.py:579(pop)
      477    0.001    0.000    0.002    0.000 dataflow.py:203(op_LOAD_FAST)
       16    0.001    0.000    0.002    0.000 _abcoll.py:416(values)
      274    0.001    0.000    0.001    0.000 {numpy.core.multiarray.zeros}
      259    0.001    0.000    0.018    0.000 base.py:291(__mul__)
      283    0.001    0.000    0.004    0.000 models.py:204(__init__)
     1878    0.001    0.000    0.001    0.000 controlflow.py:86(successors)
     2167    0.001    0.000    0.001    0.000 bytecode.py:222(<genexpr>)
       59    0.001    0.000    0.003    0.000 pythonapi.py:34(__init__)
      879    0.001    0.000    0.014    0.000 cgutils.py:280(append_basic_block)
       76    0.001    0.000    0.002    0.000 dataflow.py:257(op_CALL_FUNCTION)
       17    0.001    0.000    0.009    0.001 utils.py:106(__init__)
      823    0.001    0.000    0.001    0.000 templates.py:36(__eq__)
     2070    0.001    0.000    0.002    0.000 ir.py:461(is_temp)
      477    0.001    0.000    0.013    0.000 interpreter.py:737(op_LOAD_FAST)
     1258    0.001    0.000    0.001    0.000 ir.py:513(get)
        9    0.001    0.000    0.001    0.000 tesseroid.py:225(_convert_coords)
      404    0.001    0.000    0.002    0.000 typeinfer.py:604(typeof_expr)
      464    0.001    0.000    0.004    0.000 models.py:242(__init__)
      103    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      171    0.001    0.000    0.002    0.000 cgutils.py:43(make_bytearray)
     1355    0.001    0.000    0.001    0.000 dataflow.py:630(append)
      283    0.001    0.000    0.001    0.000 types.py:952(__init__)
       76    0.001    0.000    0.006    0.000 typeinfer.py:136(__call__)
     1362    0.001    0.000    0.001    0.000 lowering.py:175(typeof)
        7    0.001    0.000    0.001    0.000 dis.py:152(findlabels)
      442    0.001    0.000    0.019    0.000 templates.py:197(apply)
      716    0.001    0.000    0.147    0.000 typeinfer.py:247(__call__)
      133    0.001    0.000    0.004    0.000 interpreter.py:378(_start_new_block)
      348    0.001    0.000    0.008    0.000 builder.py:339(cbranch)
       15    0.001    0.000    0.012    0.001 builtins.py:1186(getitem_unituple)
      132    0.001    0.000    0.003    0.000 _abcoll.py:548(update)
     1458    0.001    0.000    0.015    0.000 core.py:157(get_or_insert_function)
      416    0.001    0.000    0.001    0.000 templates.py:59(signature)
      370    0.001    0.000    0.001    0.000 module.py:53(add_global)
      562    0.001    0.000    0.001    0.000 types.py:484(__init__)
      249    0.001    0.000    0.005    0.000 instructions.py:396(__init__)
      831    0.001    0.000    0.003    0.000 ir.py:609(insert_after)
        8    0.001    0.000    0.106    0.013 callwrapper.py:108(build_wrapper)
     1469    0.001    0.000    0.001    0.000 ir.py:359(__init__)
      132    0.001    0.000    0.004    0.000 collections.py:38(__init__)
       21    0.001    0.000    0.001    0.000 argpacker.py:90(_unflatten)
      761    0.001    0.000    0.006    0.000 values.py:432(__str__)
       80    0.001    0.000    0.026    0.000 pythonapi.py:834(to_native_value)
      394    0.001    0.000    0.589    0.001 module.py:86(<genexpr>)
       25    0.001    0.000    0.002    0.000 coo.py:241(_check)
      126    0.001    0.000    0.001    0.000 compressed.py:1053(prune)
       24    0.001    0.000    0.004    0.000 construct.py:63(diags)
       33    0.001    0.000    0.036    0.001 lowering.py:369(lower_call)
      920    0.001    0.000    0.007    0.000 values.py:387(<genexpr>)
      211    0.001    0.000    0.010    0.000 values.py:271(descr)
     1539    0.001    0.000    0.004    0.000 instructions.py:35(<genexpr>)
      211    0.001    0.000    0.003    0.000 values.py:262(__init__)
     2871    0.001    0.000    0.001    0.000 interpreter.py:439(current_scope)
      159    0.001    0.000    0.012    0.000 values.py:381(descr_prototype)
     1646    0.001    0.000    0.001    0.000 types.py:74(__init__)
      695    0.001    0.000    0.165    0.000 templates.py:224(apply)
       16    0.001    0.000    0.029    0.002 codegen.py:64(_optimize_functions)
     4117    0.001    0.000    0.001    0.000 utils.py:121(<genexpr>)
     1314    0.001    0.000    0.001    0.000 types.py:245(__eq__)
  228/219    0.001    0.000    0.002    0.000 models.py:315(get_value_type)
      732    0.001    0.000    0.014    0.000 lowering.py:610(loadvar)
     3178    0.001    0.000    0.001    0.000 types.py:873(key)
     1451    0.001    0.000    0.001    0.000 ir.py:63(define)
      365    0.001    0.000    0.003    0.000 base.py:310(is_struct_type)
      263    0.001    0.000    0.009    0.000 base.py:411(get_function)
     1154    0.001    0.000    0.001    0.000 dataflow.py:575(push)
      249    0.001    0.000    0.006    0.000 builder.py:379(insert_value)
      724    0.001    0.000    0.001    0.000 typeinfer.py:35(__init__)
     2892    0.001    0.000    0.002    0.000 {next}
     2642    0.001    0.000    0.002    0.000 typeinfer.py:501(<genexpr>)
       57    0.001    0.000    0.002    0.000 numpy_support.py:217(ufunc_find_matching_loop)
       16    0.001    0.000    0.001    0.000 __init__.py:52(create_string_buffer)
        9    0.001    0.000    0.015    0.002 typeinfer.py:381(build_constrain)
      539    0.001    0.000    0.003    0.000 ir.py:537(redefine)
       17    0.001    0.000    0.001    0.000 {_hashlib.openssl_sha1}
      157    0.001    0.000    0.001    0.000 collections.py:113(items)
       47    0.001    0.000    0.008    0.000 cgutils.py:550(get_item_pointer2)
      157    0.001    0.000    0.011    0.000 base.py:251(insert_const_string)
      672    0.001    0.000    0.003    0.000 typeinfer.py:75(union)
       12    0.001    0.000    0.023    0.002 rangeobj.py:80(from_range_state)
      309    0.001    0.000    0.096    0.000 cgutils.py:108(__getattr__)
     1099    0.001    0.000    0.001    0.000 ir.py:302(__init__)
      359    0.001    0.000    0.001    0.000 types.py:283(elements)
     4227    0.001    0.000    0.001    0.000 models.py:145(get_value_type)
     1141    0.001    0.000    0.016    0.000 ir.py:135(list_vars)
   156/11    0.001    0.000    0.002    0.000 copy.py:145(deepcopy)
       35    0.001    0.000    0.005    0.000 cgutils.py:171(__init__)
       25    0.001    0.000    0.005    0.000 coo.py:325(tocsr)
       18    0.001    0.000    0.559    0.031 values.py:397(descr_body)
        8    0.001    0.000    0.001    0.000 {scipy.sparse._sparsetools.csc_plus_csc}
      593    0.001    0.000    0.004    0.000 re.py:138(match)
      751    0.001    0.000    0.001    0.000 typeinfer.py:84(getone)
       43    0.001    0.000    0.003    0.000 npydecl.py:27(generic)
      173    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      273    0.001    0.000    0.147    0.001 base.py:957(__call__)
      983    0.001    0.000    0.001    0.000 looplifting.py:83(__lt__)
        8    0.001    0.000    0.001    0.000 {scipy.sparse._sparsetools.csr_matmat_pass2}
      204    0.001    0.000    0.004    0.000 instructions.py:128(descr)
      217    0.001    0.000    0.001    0.000 {numpy.core.multiarray.empty}
       21    0.001    0.000    0.001    0.000 templates.py:53(make_concrete_template)
     1123    0.001    0.000    0.001    0.000 {range}
       93    0.001    0.000    0.003    0.000 instructions.py:185(descr)
     1391    0.001    0.000    0.001    0.000 bytecode.py:184(is_jump)
      159    0.001    0.000    0.574    0.004 values.py:411(__str__)
      179    0.001    0.000    0.004    0.000 values.py:50(bitcast)
     3448    0.001    0.000    0.001    0.000 types.py:242(__str__)
      241    0.001    0.000    0.001    0.000 typeinfer.py:65(lock)
       11    0.001    0.000    0.001    0.000 controlflow.py:400(_find_loops)
     5041    0.001    0.000    0.001    0.000 {function __getitem__ at 0x7f49c6db56e0}
      105    0.001    0.000    0.005    0.000 __init__.py:585(parameters)
      482    0.001    0.000    0.001    0.000 core.py:119(null)
     1052    0.001    0.000    0.004    0.000 objmode.py:490(_getvar)
     1491    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      582    0.001    0.000    0.025    0.000 lowering.py:626(alloca_lltype)
        9    0.001    0.000   42.118    4.680 optimization.py:97(newton)
      731    0.001    0.000    0.001    0.000 numeric.py:464(asanyarray)
       21    0.001    0.000    0.002    0.000 looplifting.py:192(find_previous_inst)
    58/25    0.001    0.000   42.085    1.683 {sum}
      370    0.001    0.000    0.003    0.000 values.py:256(__init__)
      175    0.001    0.000    0.001    0.000 base.py:77(set_shape)
     1177    0.001    0.000    0.001    0.000 core.py:90(void)
      204    0.001    0.000    0.005    0.000 builder.py:350(ret)
     1082    0.001    0.000    0.001    0.000 types.py:801(key)
      571    0.001    0.000    0.001    0.000 compressed.py:90(getnnz)
      987    0.000    0.000    0.001    0.000 looplifting.py:80(__hash__)
     1469    0.000    0.000    0.000    0.000 ir.py:75(__contains__)
      200    0.000    0.000    0.008    0.000 interface.py:291(matmat)
      134    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      182    0.000    0.000    0.001    0.000 sputils.py:203(isshape)
      131    0.000    0.000    0.001    0.000 types.py:453(__init__)
      163    0.000    0.000    0.003    0.000 builder.py:45(wrapped)
      223    0.000    0.000    0.001    0.000 typeinfer.py:666(typeof_intrinsic_call)
       21    0.000    0.000    1.066    0.051 dispatcher.py:111(get_call_template)
       16    0.000    0.000    0.000    0.000 transforms.py:73(_populate_function_pm)
     1340    0.000    0.000    0.001    0.000 models.py:46(get_argument_type)
     3480    0.000    0.000    0.000    0.000 {chr}
       94    0.000    0.000    0.002    0.000 interpreter.py:775(op_LOAD_GLOBAL)
      179    0.000    0.000    0.002    0.000 builtins.py:353(normalize_index)
      285    0.000    0.000    0.003    0.000 cgutils.py:218(__setattr__)
     3478    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      270    0.000    0.000    0.000    0.000 ffi.py:56(close)
       80    0.000    0.000    0.006    0.000 typeinfer.py:285(__call__)
     2116    0.000    0.000    0.000    0.000 collections.py:78(__iter__)
     2110    0.000    0.000    0.000    0.000 types.py:93(__repr__)
      367    0.000    0.000    0.001    0.000 ffi.py:104(close)
       26    0.000    0.000    0.002    0.000 __init__.py:372(args)
       25    0.000    0.000    0.000    0.000 {scipy.sparse._sparsetools.csc_matvec}
